symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2025-01-02 05:00:00+00:00,390.1,392.7299,373.04,379.28,109710749.0,2134259.0,380.93662
TSLA,2025-01-03 05:00:00+00:00,381.48,411.8799,379.45,410.44,95423329.0,1446053.0,397.358166
TSLA,2025-01-06 05:00:00+00:00,423.2,426.43,401.7,411.05,85516534.0,1538768.0,411.926339
TSLA,2025-01-07 05:00:00+00:00,405.83,414.33,390.0,394.36,75699525.0,1307364.0,397.553043
TSLA,2025-01-08 05:00:00+00:00,392.95,402.4999,387.4,394.94,73038805.0,1053233.0,395.503484
TSLA,2025-01-10 05:00:00+00:00,391.4,399.28,377.29,394.74,62287333.0,1013456.0,392.521782
TSLA,2025-01-13 05:00:00+00:00,383.21,403.79,380.07,403.31,67580494.0,1091602.0,392.287984
TSLA,2025-01-14 05:00:00+00:00,414.34,422.64,394.54,396.36,84565022.0,1329525.0,408.315226
TSLA,2025-01-15 05:00:00+00:00,409.9,429.8,405.661,428.22,81375460.0,1270362.0,419.665889
TSLA,2025-01-16 05:00:00+00:00,423.49,424.0,409.13,413.82,68335151.0,1115835.0,414.692584
TSLA,2025-01-17 05:00:00+00:00,421.5,439.74,419.75,426.5,94991429.0,1408188.0,431.143857
TSLA,2025-01-21 05:00:00+00:00,432.64,433.2,406.31,424.07,87320894.0,1525520.0,416.698413
TSLA,2025-01-22 05:00:00+00:00,416.81,428.0,414.59,415.11,60963342.0,997855.0,419.951867
TSLA,2025-01-23 05:00:00+00:00,416.06,420.73,408.95,412.38,50690592.0,858456.0,412.953492
TSLA,2025-01-24 05:00:00+00:00,414.45,418.88,405.78,406.58,56427149.0,880013.0,411.805184
TSLA,2025-01-27 05:00:00+00:00,394.8,406.69,389.0,397.15,58125510.0,1169771.0,398.061358
TSLA,2025-01-28 05:00:00+00:00,396.91,400.59,386.5,398.09,48910676.0,832535.0,393.759183
TSLA,2025-01-29 05:00:00+00:00,395.21,398.5899,384.48,389.1,68033648.0,1233281.0,390.198862
TSLA,2025-01-30 05:00:00+00:00,410.78,412.5,384.41,400.28,98092879.0,1520074.0,398.863881
TSLA,2025-01-31 05:00:00+00:00,401.53,419.99,401.34,404.6,83568219.0,1221590.0,411.562838
TSLA,2025-02-03 05:00:00+00:00,386.68,389.17,374.36,383.68,93667990.0,1628253.0,382.79558
TSLA,2025-02-04 05:00:00+00:00,382.63,394.0,381.4,392.21,56887097.0,898728.0,387.034276
TSLA,2025-02-05 05:00:00+00:00,387.51,388.39,375.53,378.17,57614721.0,992349.0,381.307481
TSLA,2025-02-06 05:00:00+00:00,373.03,375.4,363.18,374.32,77918230.0,1355558.0,368.749796
TSLA,2025-02-07 05:00:00+00:00,370.19,380.5459,360.34,361.62,70039450.0,1174003.0,368.731833
TSLA,2025-02-10 05:00:00+00:00,356.21,362.7,350.51,350.73,77475129.0,1336497.0,356.578934
TSLA,2025-02-11 05:00:00+00:00,345.8,349.37,325.1,328.5,118543400.0,1942757.0,335.217463
TSLA,2025-02-12 05:00:00+00:00,329.94,346.4,329.12,336.51,105382729.0,1582239.0,339.515711
TSLA,2025-02-13 05:00:00+00:00,345.0,358.69,342.85,355.94,89441519.0,1349829.0,352.237369
TSLA,2025-02-14 05:00:00+00:00,360.62,362.0,347.5,355.84,68277279.0,1058534.0,353.259755
TSLA,2025-02-18 05:00:00+00:00,355.01,359.1,350.02,354.11,51631702.0,897273.0,354.488447
TSLA,2025-02-19 05:00:00+00:00,354.0,367.34,353.67,360.56,67020286.0,961336.0,361.863395
TSLA,2025-02-20 05:00:00+00:00,361.51,362.3,348.0,354.4,45965354.0,778485.0,353.36419
TSLA,2025-02-21 05:00:00+00:00,353.44,354.98,334.42,337.8,74058648.0,1120548.0,342.133875
TSLA,2025-02-24 05:00:00+00:00,338.14,342.3973,324.7,330.53,76052321.0,1245962.0,333.274028
TSLA,2025-02-25 05:00:00+00:00,327.025,328.89,297.2512,302.8,134228777.0,2229729.0,305.85086
TSLA,2025-02-26 05:00:00+00:00,303.715,309.0,288.04,290.8,100118276.0,1673163.0,296.998498
