Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,205.31580323726652,208.33470850149027,204.8391371751135,208.3247833251953,12077100,0.0,0.0
2020-01-03 00:00:00-05:00,205.77262467099823,208.940483432474,205.51441855073767,207.2224884033203,11188400,0.0,0.0
2020-01-06 00:00:00-05:00,205.2661324493684,211.30395770128737,205.08738837112787,211.12521362304688,17058900,0.0,0.0
2020-01-07 00:00:00-05:00,211.34370579308143,213.09149147322898,210.28112095451584,211.58203125,14912400,0.0,0.0
2020-01-08 00:00:00-05:00,211.52244939225042,214.73997942961384,211.13515537272028,213.72705078125,13475000,0.0,0.0
2020-01-09 00:00:00-05:00,216.03095261005296,216.86513717856823,214.77969848669196,216.7856903076172,12642800,0.0,0.0
2020-01-10 00:00:00-05:00,217.67943940712337,218.35473022852156,215.91178821270205,216.54734802246094,12119400,0.0,0.0
2020-01-13 00:00:00-05:00,218.0766777515335,220.43023261072588,217.6893837221355,220.3706512451172,14463400,0.0,0.0
2020-01-14 00:00:00-05:00,220.07273470377893,220.83739760485452,217.1134106328486,217.54042053222656,13288900,0.0,0.0
2020-01-15 00:00:00-05:00,219.07965833729054,220.1422280098775,218.6129174526304,219.61590576171875,10036500,0.0,0.0
2020-01-16 00:00:00-05:00,221.02608200246482,221.0856633695372,218.86119636353655,220.23162841796875,10015300,0.0,0.0
2020-01-17 00:00:00-05:00,220.4897919973083,220.7479829401893,219.00019739381185,220.59902954101562,15905900,0.0,0.0
2020-01-21 00:00:00-05:00,220.6189068065152,220.82744157647545,217.59998643017602,219.90390014648438,14275800,0.0,0.0
2020-01-22 00:00:00-05:00,220.7678517590934,221.2048019404833,219.74499799490349,219.78472900390625,12212800,0.0,0.0
2020-01-23 00:00:00-05:00,219.21867256169566,219.95354468808202,217.74894346186284,218.23553466796875,11195000,0.0,0.0
2020-01-24 00:00:00-05:00,219.26833798403877,220.2415355901936,214.61086956802987,216.4281768798828,11905800,0.0,0.0
2020-01-27 00:00:00-05:00,211.6217599875433,214.56121837952216,211.02591604576713,213.3794708251953,13810700,0.0,0.0
2020-01-28 00:00:00-05:00,214.64067241586744,217.22264271252638,212.03885176597643,216.2792205810547,13413800,0.0,0.0
2020-01-29 00:00:00-05:00,219.90389648692644,222.6447452028053,216.9346323466857,221.6814727783203,33181300,0.0,0.0
2020-01-30 00:00:00-05:00,205.0973333453647,209.96333677110164,203.3296821317416,208.07652282714844,48775500,0.0,0.0
2020-01-31 00:00:00-05:00,206.98414497999343,207.24235109674964,199.66527441700927,200.50938415527344,31359900,0.0,0.0
2020-02-03 00:00:00-05:00,202.02876223518646,203.71696649755066,201.0952804840247,202.7735595703125,15495600,0.0,0.0
2020-02-04 00:00:00-05:00,205.18669615551534,209.1390982668606,203.77654834930945,208.3744354248047,19628900,0.0,0.0
2020-02-05 00:00:00-05:00,211.03585723878854,211.2543323571584,207.2622291642732,208.6525115966797,12538200,0.0,0.0
2020-02-06 00:00:00-05:00,209.0099907941408,209.72499743469822,207.88782464797202,209.38735961914062,10567500,0.0,0.0
2020-02-07 00:00:00-05:00,208.84118444877097,211.34370784125605,208.47374077755876,210.8571014404297,12242500,0.0,0.0
2020-02-10 00:00:00-05:00,210.0527206739885,212.31690343236147,209.19868576316776,211.58203125,11856400,0.0,0.0
2020-02-11 00:00:00-05:00,208.73193588881574,209.3972863489781,205.0774557929644,205.75274658203125,25030800,0.0,0.0
2020-02-12 00:00:00-05:00,206.40817152622643,209.75478932639408,205.96128100859255,209.2979736328125,13813700,0.0,0.0
2020-02-13 00:00:00-05:00,208.06659993280633,212.84323136318875,207.72894693826518,211.66148376464844,15396600,0.0,0.0
2020-02-14 00:00:00-05:00,212.51548505681615,213.4390263866897,211.17484392635689,212.69422912597656,10741700,0.0,0.0
2020-02-18 00:00:00-05:00,212.06863572470812,216.46789814380386,211.91966716254262,216.28915405273438,15609200,0.0,0.0
